Refactored?,Md guidelines ready?,Work Unit ID,file_path,line_number,line_content,spring component,change_status,class_changes,old groupId,old artifactId
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/impl/dao/DbReadTrackerDAO.java,17,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/impl/dao/DbSearchEngineDAO.java,18,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,Y,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/impl/dao/DbVersionCommentDAO.java,13,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/impl/dao/JiveI18nTextDAOImpl.java,23,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,Y,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/impl/dao/JiveLockDAO.java,12,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/impl/dao/PermissionsDAOImpl.java,15,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/impl/dao/QuestProgressDAOImpl.java,29,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,Y,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/impl/dao/UpgradeUserDAOImpl.java,22,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/impl/dao/UserContainerDAOImpl.java,21,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
Y,N,M2.REFACTOR.2,core/src/main/java/com/jivesoftware/community/impl/dao/UserEntitlementDAOImpl.java,25,org.springframework.jdbc.core.simple.ParameterizedRowMapper,spring-jdbc,REMOVED,"CLASS_REMOVED,CLASS_GENERIC_TEMPLATE_CHANGED",org.springframework,spring-jdbc
